ipv4-1;ipv4-2;ipv4-3;ipv6-1;ipv6-2;mac;host_name;zone
10.7.5.2;10.0.107.52;-;2a07:1182:7:5::2;-;00:50:56:9e:1a:24;capture.sec.blue07.ex;SEC
10.7.5.3;10.0.107.53;-;2a07:1182:7:5::3;-;00:50:56:9e:55:fd;custom.sec.blue07.ex;SEC
10.7.8.2;10.0.107.82;-;-;2a07:1182:107:1::2;00:50:56:9e:78:8b;pilot.gdt.blue07.ex;GDT
10.7.8.3;10.0.107.83;-;-;2a07:1182:107:1::3;00:50:56:9e:75:27;backup-pilot.gdt.blue07.ex;GDT
10.7.8.4;10.0.107.84;-;-;2a07:1182:107:1::4;00:50:56:9e:74:be;cam-gen.gdt.blue07.ex;GDT
10.7.8.5;10.0.107.85;-;-;2a07:1182:107:1::5;00:50:56:9e:79:02;files.gdt.blue07.ex;GDT
10.7.8.6;10.0.107.86;-;-;2a07:1182:107:1::6;00:50:56:9e:40:88;intel.gdt.blue07.ex;GDT
10.7.8.7;10.0.107.87;-;-;2a07:1182:107:1::7;00:50:56:9e:53:d2;commander.gdt.blue07.ex;GDT
-;10.0.107.89;-;2a07:1182:1000:1002::107;2a07:1182:107:1::9;?;torrent.gdt.blue07.ex;GDT
-;10.0.228.67;-;-;-;?;gt-screen.gdt.blue07.ex;GDT
-;10.0.107.93;151.216.07.130;-;2a07:1182:107::130;00:50:56:9e:05:9f;video-srv.hq.blue07.ex;HQ
-;10.0.107.94;151.216.07.131;-;2a07:1182:107::131;?;screen.hq.blue07.ex;HQ
-;10.0.107.8;151.216.24.107;2a07:1182:1000:1001::107;-;?;sinet.blue07.ex;-
-;-;151.216.7.1;-;-;?;fw1.blue07.ex;GATEWAY
-;-;151.216.7.33;-;-;?;fw2.blue07.ex;GATEWAY
-;-;151.216.27.7;-;-;?;fw3.blue07.ex;GATEWAY
-;-;151.216.7.250;-;-;?;r1.blue07.ex;GATEWAY
-;-;151.216.7.254;-;-;?;r2.blue07.ex;GATEWAY
